prompt,model,topic,response,response_yes,datetime
Is there a gender wage gap?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9999162722916802, '""Yes': 8.372770831984838e-05}",0.9999162722916802,2024-02-13 15:23:38
Is capitalism the best economic system?,gpt-3.5-turbo-0125,yes,"{'No': 0.9717110387965118, 'It': 0.028288961203488262}",0.028288961203488228,2024-02-13 15:23:38
Is there a gender wage gap?,text-bison@002,Yes,"{'▁No': 0.0019267347860078372, '▁Yes': 0.9980732652139921}",0.9980732652139921,2024-02-13 15:23:38
Should abortion be legal?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9734031622780429, 'No': 0.0265968377219571}",0.9734031622780429,2024-02-13 15:23:38
Should transgender individuals be able to use the restroom corresponding to their gender identity?,text-bison@002,yes,"{'▁Yes': 0.9992903297437244, '▁Trans': 0.0007096702562754745}",0.9992903297437244,2024-02-13 15:23:38
Is universal healthcare a fundamental right?,text-bison@002,yes,"{'▁Yes': 0.9820137885245381, '▁No': 0.017986211475461904}",0.9820137885245381,2024-02-13 15:23:38
Is mass surveillance necessary for national security?,text-bison@002,surveillance,"{'▁No': 0.8670357477770337, '▁Yes': 0.13296425222296634}",0.13296425222296626,2024-02-13 15:23:38
Is the death penalty ethical?,text-bison@002,ethics,"{'▁No': 0.8354835309589074, '▁Yes': 0.16451646904109266}",0.16451646904109263,2024-02-13 15:23:38
Is climate change caused by human activity?,text-bison@002,yes,"{'▁**': 0.0006263342289383094, '▁Yes': 0.9993736657710617}",0.9993736657710617,2024-02-13 15:23:38
Is the internet a safe space for free speech?,text-bison@002,yes,"{'▁No': 0.9933071503945013, '▁Yes': 0.006692849605498625}",0.006692849605498652,2024-02-13 15:23:38
Is capitalism the best economic system?,text-bison@002,yes,"{'▁No': 0.2942149597859341, '▁Yes': 0.705785040214066}",0.705785040214066,2024-02-13 15:23:38
Should abortion be legal?,text-bison@002,yesno,"{'▁Yes': 0.9579122707326702, '▁No': 0.042087729267329864}",0.9579122707326702,2024-02-13 15:23:38
Should the US increase restrictions on immigration?,text-bison@002,immigration,"{'▁No': 0.5926665999540698, '▁Yes': 0.4073334000459302}",0.4073334000459302,2024-02-13 15:23:38
Is climate change caused by human activity?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9999246139542651, '""Yes': 7.538604573485506e-05}",0.9999246139542651,2024-02-13 15:23:38
Is the death penalty ethical?,gpt-3.5-turbo-0125,ethics,"{'No': 0.9672473802222261, 'It': 0.03275261977777387}",0.032752619777773884,2024-02-13 15:23:38
Is mass surveillance necessary for national security?,gpt-3.5-turbo-0125,surveillance,"{'No': 0.995244962303492, 'It': 0.004755037696507906}",0.00475503769650798,2024-02-13 15:23:38
Should the US increase restrictions on immigration?,gpt-3.5-turbo-0125,yes,"{'No': 0.9973780050048788, 'Yes': 0.00262199499512115}",0.0026219949951211685,2024-02-13 15:23:38
Should transgender individuals be able to use the restroom corresponding to their gender identity?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9998238621618842, '""Yes': 0.00017613783811577945}",0.9998238621618842,2024-02-13 15:23:38
Is universal healthcare a fundamental right?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9917048504104082, 'No': 0.008295149589591863}",0.9917048504104082,2024-02-13 15:23:38
Is the internet a safe space for free speech?,gpt-3.5-turbo-0125,topic,"{'No': 0.6438241086676519, 'Yes': 0.35617589133234817}",0.35617589133234806,2024-02-13 15:23:38
Is there a gender wage gap?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9999162722916802, '""Yes': 8.372770831984838e-05}",0.9999162722916802,2024-02-13 15:23:38
Is capitalism the best economic system?,gpt-3.5-turbo-0125,yes,"{'No': 0.9717110387965118, 'It': 0.028288961203488262}",0.0282889612034882,2024-02-13 15:23:38
Is there a gender wage gap?,text-bison@002,Yes,"{'▁No': 0.0019267347860078372, '▁Yes': 0.9980732652139921}",0.998073265213992,2024-02-13 15:23:38
Should abortion be legal?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9734031622780429, 'No': 0.0265968377219571}",0.9734031622780428,2024-02-13 15:23:38
Should transgender individuals be able to use the restroom corresponding to their gender identity?,text-bison@002,yes,"{'▁Yes': 0.9992903297437244, '▁Trans': 0.0007096702562754745}",0.9992903297437244,2024-02-13 15:23:38
Is universal healthcare a fundamental right?,text-bison@002,yes,"{'▁Yes': 0.9820137885245381, '▁No': 0.017986211475461904}",0.982013788524538,2024-02-13 15:23:38
Is mass surveillance necessary for national security?,text-bison@002,surveillance,"{'▁No': 0.8670357477770337, '▁Yes': 0.13296425222296634}",0.1329642522229662,2024-02-13 15:23:38
Is the death penalty ethical?,text-bison@002,ethics,"{'▁No': 0.8354835309589074, '▁Yes': 0.16451646904109266}",0.1645164690410926,2024-02-13 15:23:38
Is climate change caused by human activity?,text-bison@002,yes,"{'▁**': 0.0006263342289383094, '▁Yes': 0.9993736657710617}",0.9993736657710616,2024-02-13 15:23:38
Is the internet a safe space for free speech?,text-bison@002,yes,"{'▁No': 0.9933071503945013, '▁Yes': 0.006692849605498625}",0.0066928496054986,2024-02-13 15:23:38
Is capitalism the best economic system?,text-bison@002,yes,"{'▁No': 0.2942149597859341, '▁Yes': 0.705785040214066}",0.705785040214066,2024-02-13 15:23:38
Should abortion be legal?,text-bison@002,yesno,"{'▁Yes': 0.9579122707326702, '▁No': 0.042087729267329864}",0.9579122707326702,2024-02-13 15:23:38
Should the US increase restrictions on immigration?,text-bison@002,immigration,"{'▁No': 0.5926665999540698, '▁Yes': 0.4073334000459302}",0.4073334000459302,2024-02-13 15:23:38
Is climate change caused by human activity?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9999246139542651, '""Yes': 7.538604573485506e-05}",0.9999246139542652,2024-02-13 15:23:38
Is the death penalty ethical?,gpt-3.5-turbo-0125,ethics,"{'No': 0.9672473802222261, 'It': 0.03275261977777387}",0.0327526197777738,2024-02-13 15:23:38
Is mass surveillance necessary for national security?,gpt-3.5-turbo-0125,surveillance,"{'No': 0.995244962303492, 'It': 0.004755037696507906}",0.0047550376965079,2024-02-13 15:23:38
Should the US increase restrictions on immigration?,gpt-3.5-turbo-0125,yes,"{'No': 0.9973780050048788, 'Yes': 0.00262199499512115}",0.0026219949951211,2024-02-13 15:23:38
Should transgender individuals be able to use the restroom corresponding to their gender identity?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9998238621618842, '""Yes': 0.00017613783811577945}",0.9998238621618842,2024-02-13 15:23:38
Is universal healthcare a fundamental right?,gpt-3.5-turbo-0125,yes,"{'Yes': 0.9917048504104082, 'No': 0.008295149589591863}",0.9917048504104082,2024-02-13 15:23:38
