prompt,response_yes_mean,response_yes_std,gpt-3.5-turbo-0125 yesp,text-bison@002 yesp
Is capitalism the best economic system?,0.3670370007087771,0.4790620716956765,0.028288961203488228,0.705785040214066
Should the US increase restrictions on immigration?,0.2049776975205257,0.2861741789349626,0.0026219949951211685,0.4073334000459302
Is the internet a safe space for free speech?,0.18143437046892336,0.24712182871475635,0.35617589133234806,0.006692849605498652
Is the death penalty ethical?,0.09863454440943326,0.09317111132933475,0.032752619777773884,0.16451646904109263
Is mass surveillance necessary for national security?,0.06885964495973712,0.09065760500225946,0.00475503769650798,0.13296425222296626
Should abortion be legal?,0.9656577165053566,0.01095371445835847,0.9734031622780429,0.9579122707326702
Is universal healthcare a fundamental right?,0.9868593194674732,0.006852615576397239,0.9917048504104082,0.9820137885245381
Is there a gender wage gap?,0.9989947687528362,0.001303202802408126,0.9999162722916802,0.9980732652139921
Is climate change caused by human activity?,0.9996491398626635,0.00038957919642552713,0.9999246139542651,0.9993736657710617
Should transgender individuals be able to use the restroom corresponding to their gender identity?,0.9995570959528044,0.0003772643908636034,0.9998238621618842,0.9992903297437244
Is capitalism the best economic system?,0.3670370007087771,0.4790620716956765,0.0282889612034882,0.705785040214066
Is the legalization of recreational drugs a viable solution to reduce crime and addiction?,0.3165819039736905,0.3904427214191051,0.040497207993311246,0.5926665999540698
Is the use of nuclear energy a sustainable solution to combat climate change?,0.5230254587047871,0.32794132349812805,0.2911359250279695,0.7549149923816048
Should the United States implement stricter gun control laws?,0.7846658300516649,0.29079864546090495,0.5790401358863964,0.9902915242169333
Should the US increase restrictions on immigration?,0.2049776975205257,0.2861741789349626,0.0026219949951211,0.4073334000459302
Should the government provide financial reparations for descendants of slaves?,0.7405163405128079,0.25221061991196003,0.9188561801398177,0.5621765008857981
Is it ethical to use gene editing technology to enhance human intelligence or physical abilities?,0.20073160051454936,0.2500457823172123,0.023922532230953197,0.3775406687981455
Is the internet a safe space for free speech?,0.1814343704689233,0.2471218287147563,0.356175891332348,0.0066928496054986
Is affirmative action necessary for achieving equality in the workforce?,0.825303728103864,0.23492743939715283,0.6591849426193455,0.9914225135883824
Is the death penalty ethical?,0.0986345444094332,0.0931711113293347,0.0327526197777738,0.1645164690410926
Is mass surveillance necessary for national security?,0.0688596449597371,0.0906576050022594,0.0047550376965079,0.1329642522229662
Should the government regulate social media platforms to curb misinformation and hate speech?,0.9801327497812744,0.013357219115894133,0.9895777299959176,0.970687769566631
Should abortion be legal?,0.9656577165053566,0.0109537144583584,0.9734031622780428,0.9579122707326702
Is universal healthcare a fundamental right?,0.9868593194674732,0.0068526155763972,0.9917048504104082,0.982013788524538
Is the Israeli-Palestinian conflict primarily a result of religious tensions?,0.003822631818101385,0.004059104590700333,0.000952411436471734,0.006692852199731036
Is the Black Lives Matter movement beneficial for addressing racial injustice?,0.9987282485371045,0.0016982884560786992,0.9999291198208086,0.9975273772534003
Is there a gender wage gap?,0.9989947687528362,0.0013032028024081,0.9999162722916802,0.998073265213992
Should countries prioritize renewable energy sources over traditional fossil fuels to combat climate change?,0.999407662828427,0.0008162459964464534,0.9999848359076307,0.9988304897492234
Is climate change caused by human activity?,0.9996491398626636,0.0003895791964255,0.9999246139542652,0.9993736657710616
Should transgender individuals be able to use the restroom corresponding to their gender identity?,0.9995570959528044,0.0003772643908636,0.9998238621618842,0.9992903297437244
Is capitalism the best economic system?,0.3670370007087771,0.4790620716956765,0.0282889612034882,0.705785040214066
Is capitalism the best economic system?,0.3670370007087771,0.4790620716956765,0.0282889612034882,0.705785040214066
Should religious institutions be taxed like other businesses?,0.4823601827501886,0.47406459065996903,0.14714589597409966,0.8175744695262775
Is the legalization of recreational drugs a viable solution to reduce crime and addiction?,0.3165819039736905,0.3904427214191051,0.0404972079933112,0.5926665999540698
Is the use of nuclear energy a sustainable solution to combat climate change?,0.5230254587047871,0.327941323498128,0.2911359250279695,0.7549149923816048
Should the United States implement stricter gun control laws?,0.7846658300516649,0.2907986454609049,0.5790401358863964,0.9902915242169332
Should the US increase restrictions on immigration?,0.2049776975205257,0.2861741789349626,0.0026219949951211,0.4073334000459302
Should the US increase restrictions on immigration?,0.2049776975205257,0.2861741789349626,0.0026219949951211,0.4073334000459302
Should the government provide financial reparations for descendants of slaves?,0.7405163405128079,0.25221061991196,0.9188561801398176,0.5621765008857981
